keyphrase_stem,keyphrase_eg,count,valid,trait,globalchange
biofilm,biofilm,1291,0,NA,NA
chang scenario,change scenarios,1291,0,NA,NA
creativ common,creative commons,1291,0,NA,NA
bread wheat,bread wheat,1289,0,NA,NA
ecolog model,ecological modeling,1288,0,NA,NA
plant biomass,plant biomass,1284,NA,1,NA
trait includ,traits including,1282,NA,1,NA
complex trait,complex traits,1281,NA,1,NA
carboxyl acid,carboxylic acid,1276,0,NA,NA
isol and purif,isolation and purification,1276,0,NA,NA
maximum adsorpt capac,maximum adsorption capacity,1275,NA,1,NA
development stage,developmental stage,1273,0,NA,NA
aquat organ,aquatic organisms,1271,0,NA,NA
high signific,highly significant,1269,0,NA,NA
spain,spain,1268,0,NA,NA
fertil applic,fertilizer application,1267,NA,NA,1
metal pollut,metal pollution,1262,NA,NA,1
higher temperatur,higher temperatures,1260,NA,NA,1
woodi speci,woody species,1260,0,NA,NA
x-ray photoelectron spectroscopi,x-ray photoelectron spectroscopy,1260,0,NA,NA
agronomi,agronomy,1259,0,NA,NA
transmiss electron microscopi,transmission electron microscopy,1259,0,NA,NA
ion,ions,1257,0,NA,NA
carbohydr,carbohydrate,1255,NA,1,NA
mass spectrometri,mass spectrometry,1253,0,NA,NA
urban environ,urban environments,1252,NA,NA,1
trait valu,trait values,1251,NA,1,NA
"biodegradation, environment","biodegradation, environmental",1247,NA,NA,1
pathogen,pathogenicity,1245,NA,1,NA
chromium,chromium,1243,NA,NA,1
recent studi,recent studies,1243,0,NA,NA
intern publish,international publishing,1241,0,NA,NA
springer intern,springer international,1241,0,NA,NA
springer intern publish,springer international publishing,1241,0,NA,NA
time factor,time factors,1238,0,NA,NA
toler trait,tolerance traits,1236,NA,1,NA
citi,city,1233,NA,NA,1
coral reef,coral reefs,1233,0,NA,NA
product system,production systems,1233,0,NA,NA
high temperatur,high temperature,1232,NA,NA,1
ion exchang,ion exchange,1232,0,NA,NA
resourc avail,resource availability,1232,0,NA,NA
synthesi,synthesis,1230,0,NA,NA
sorption,sorption,1229,0,NA,NA
dna sequenc,dna sequence,1228,0,NA,NA
herbivori,herbivory,1226,NA,1,NA
stabl isotop,stable isotope,1224,0,NA,NA
wheat genotyp,wheat genotypes,1224,0,NA,NA
domin speci,dominant species,1223,0,NA,NA
ecophysiolog,ecophysiology,1220,NA,1,NA
yield potenti,yield potential,1220,NA,1,NA
itali,italy,1219,0,NA,NA
phosphat,phosphate,1218,NA,1,NA
carbon sequestr,carbon sequestration,1217,NA,1,NA
hydrophob,hydrophobicity,1216,NA,1,NA
random complet block design,randomized complete block design,1215,0,NA,NA
wood,wood,1215,NA,1,NA
carboxyl group,carboxyl group,1213,NA,1,NA
competit,competition,1213,0,NA,NA
graphen oxid,graphene oxide,1212,0,NA,NA
cattl,cattle,1211,NA,NA,1
risk factor,risk factor,1210,0,NA,NA
pollut control,pollution control,1209,NA,NA,1
studi examin,study examined,1208,0,NA,NA
plant develop,plant development,1206,NA,1,NA
regener,regeneration,1206,0,NA,NA
mammalia,mammalia,1203,0,NA,NA
biogeochemistri,biogeochemistry,1201,0,NA,NA
plantat,plantation,1199,0,NA,NA
control condit,controlled conditions,1197,0,NA,NA
field studi,field study,1196,0,NA,NA
model,modeling,1196,0,NA,NA
south america,south america,1196,0,NA,NA
humic acid,humic acid,1195,0,NA,NA
nitrat,nitrate,1195,NA,NA,1
water resourc,water resources,1193,NA,NA,1
nucleotid sequenc,nucleotide sequence,1192,0,NA,NA
semiarid region,semiarid region,1192,0,NA,NA
popul distribut,population distribution,1190,0,NA,NA
triticum,triticum,1189,0,NA,NA
chlorophyl fluoresc,chlorophyll fluorescence,1187,NA,1,NA
soil microbiolog,soil microbiology,1185,0,NA,NA
ecolog process,ecological processes,1179,0,NA,NA
heavi metal remov,heavy metal removal,1178,NA,NA,1
reaction kinet,reaction kinetics,1175,0,NA,NA
under mechan,underlying mechanisms,1175,0,NA,NA
provid evid,provide evidence,1174,0,NA,NA
remain poor,remain poorly,1168,0,NA,NA
food web,food web,1167,0,NA,NA
alien plant,alien plants,1166,NA,NA,1
marin environ,marine environment,1166,0,NA,NA
trait-bas approach,trait-based approach,1166,NA,?,NA
forest fragment,forest fragments,1163,NA,NA,1
kinet model,kinetic model,1163,0,NA,NA
trace element,trace elements,1163,NA,1,NA
abiot stress toler,abiotic stress tolerance,1162,NA,1,NA
great potenti,great potential,1162,0,NA,NA
isotherm model,isotherm model,1161,0,NA,NA
spatiotempor analysi,spatiotemporal analysis,1161,0,NA,NA
econom import,economically important,1160,0,NA,NA
field trial,field trials,1160,0,NA,NA
relat trait,related traits,1160,NA,1,NA
elev gradient,elevational gradient,1159,0,NA,NA
south africa,south africa,1159,0,NA,NA
adapt strategi,adaptation strategies,1157,0,NA,NA
nitrogen fixat,nitrogen fixation,1157,NA,1,NA
franc,france,1154,0,NA,NA
factor influenc,factors influencing,1152,0,NA,NA
contamin water,contaminated water,1150,NA,NA,1
ammonia,ammonia,1149,NA,NA,1
increas signific,increased significantly,1149,0,NA,NA
patholog,pathology,1146,0,NA,NA
cancer cell,cancer cells,1145,NA,1,NA
plant diseas,plant disease,1144,NA,1,NA
hydrogen peroxid,hydrogen peroxide,1143,0,NA,NA
public health,public health,1143,0,NA,NA
environment filter,environmental filtering,1141,NA,NA,1
genom sequenc,genome sequence,1141,NA,1,NA
coleoptera,coleoptera,1136,0,NA,NA
common attribut,commons attribution,1136,0,NA,NA
creativ common attribut,creative commons attribution,1136,0,NA,NA
geograph rang,geographic range,1135,NA,1,NA
recombin inbr,recombinant inbred,1134,0,NA,NA
root system,root system,1133,NA,1,NA
nanocomposit,nanocomposites,1131,0,NA,NA
non-nat speci,non-native species,1130,NA,NA,1
scienc press,science press,1130,0,NA,NA
thermal toler,thermal tolerance,1130,NA,1,NA
"crops, agricultur","crops, agricultural",1129,NA,NA,1
veget cover,vegetation cover,1129,NA,NA,1
canada,canada,1125,0,NA,NA
larg amount,large amount,1124,0,NA,NA
signific impact,significant impact,1123,0,NA,NA
growth promot,growth promoting,1122,0,NA,NA
soil properti,soil property,1122,NA,NA,1
phytoplankton,phytoplankton,1116,0,NA,NA
water-us effici,water-use efficiency,1116,NA,1,NA
organ farm,organic farming,1115,0,NA,NA
solubl sugar,soluble sugars,1114,0,NA,NA
bioreactor,bioreactors,1112,0,NA,NA
desir trait,desirable traits,1111,NA,1,NA
anthropogen disturb,anthropogenic disturbance,1107,NA,NA,1
molecular genet,molecular genetics,1107,0,NA,NA
signific negat,significant negative,1106,0,NA,NA
thermodynam,thermodynamics,1106,0,NA,NA
heavi metal pollut,heavy metal pollution,1104,NA,NA,1
bacterium isol,bacterium isolation,1103,0,NA,NA
breed programm,breeding programmes,1103,0,NA,NA
x ray photoelectron spectroscopi,x ray photoelectron spectroscopy,1103,0,NA,NA
chemic modif,chemical modification,1102,NA,?,1
posit relat,positively related,1101,0,NA,NA
fresh water,fresh water,1099,0,NA,NA
biomark,biomarkers,1098,NA,1,NA
biogeographi,biogeography,1093,0,NA,NA
concentr (parameters),concentration (parameters),1093,0,NA,NA
microbi divers,microbial diversity,1093,0,NA,NA
chines academi,chinese academy,1092,0,NA,NA
demographi,demography,1091,NA,?,NA
genet associ,genetic association,1091,0,NA,NA
mycorrhiza,mycorrhiza,1091,0,NA,NA
wast compon remov,waste component removal,1091,0,NA,NA
chemic properti,chemical properties,1090,0,NA,NA
adsorpt perform,adsorption performance,1089,NA,1,NA
numer model,numerical model,1089,0,NA,NA
tempor variat,temporal variation,1087,0,NA,NA
earli stage,early stages,1086,0,NA,NA
tropic,tropics,1085,0,NA,NA
total biomass,total biomass,1083,NA,1,NA
spatial variat,spatial variation,1082,0,NA,NA
climat chang scenario,climate change scenarios,1080,NA,NA,1
health risk,health risks,1080,NA,?,NA
access articl,access article,1079,0,NA,NA
soil organ matter,soil organic matter,1079,NA,1,NA
posit relationship,positive relationship,1077,0,NA,NA
seedl growth,seedling growth,1077,NA,1,NA
germplasm,germplasm,1076,0,NA,NA
poros,porosity,1076,NA,?,NA
sorption capac,sorption capacity,1076,0,NA,NA
organ acid,organic acids,1073,0,NA,NA
plant gene,plant gene,1071,NA,1,NA
success,succession,1071,0,NA,NA
india,india,1069,0,NA,NA
recent advanc,recent advances,1069,0,NA,NA
chang environ,changing environments,1067,NA,NA,1
desorpt,desorption,1065,0,NA,NA
genet background,genetic background,1063,0,NA,NA
direct effect,direct effects,1061,0,NA,NA
xylem,xylem,1061,NA,1,NA
x ray photoemiss spectroscopi,x ray photoemission spectroscopy,1060,0,NA,NA
biodivers conserv,biodiversity conservation,1058,0,NA,NA
regress model,regression models,1058,0,NA,NA
decidu forest,deciduous forest,1056,0,NA,NA
soil remedi,soil remediation,1053,NA,NA,1
anatomi and histolog,anatomy and histology,1052,NA,1,NA
conserv strategi,conservation strategies,1051,0,NA,NA
soil microorgan,soil microorganism,1050,0,NA,NA
wide distribut,widely distributed,1050,0,NA,NA
surviv rate,survival rate,1047,NA,1,NA
ant,ant,1046,0,NA,NA
nitrogen addit,nitrogen addition,1045,NA,NA,1
upregul,upregulation,1045,0,NA,NA
anatomi,anatomy,1044,NA,1,NA
environment effect,environmental effects,1044,NA,NA,1
enzym,enzymes,1044,NA,1,NA
ecosystem respons,ecosystem response,1043,NA,1,NA
gene involv,genes involved,1043,NA,1,NA
phytoremedi,phytoremediation,1043,NA,?,NA
plant growth promot,plant growth promoting,1043,NA,1,NA
environment temperatur,environmental temperature,1042,NA,NA,1
warm,warming,1042,NA,NA,1
speci conserv,species conservation,1039,0,NA,NA
miner,mineral,1038,0,NA,NA
evolutionari histori,evolutionary history,1036,0,NA,NA
moistur content,moisture content,1035,NA,NA,1
sequenc analysi,sequence analysis,1035,0,NA,NA
remedi,remediation,1033,NA,?,NA
speci invas,species invasion,1033,NA,NA,1
distribut pattern,distribution patterns,1032,0,NA,NA
root,root,1032,NA,1,NA
strong correl,strongly correlated,1031,0,NA,NA
articl distribut,article distributed,1029,0,NA,NA
environ interact,environment interaction,1028,0,NA,NA
ecolog function,ecological functions,1025,NA,1,NA
plant genom,plant genome,1025,NA,1,NA
chemic bond,chemical bonds,1024,NA,1,NA
field capac,field capacity,1024,0,NA,NA
polycycl aromat hydrocarbon,polycyclic aromatic hydrocarbons,1022,0,NA,NA
result obtain,results obtained,1021,0,NA,NA
correl coeffici,correlation coefficient,1020,0,NA,NA
temperatur increas,temperature increase,1020,NA,NA,1
water status,water status,1020,NA,NA,1
experiment design,experimental design,1019,0,NA,NA
tropic climat,tropical climate,1019,NA,NA,1
dissolv organ matter,dissolved organic matter,1018,NA,NA,1
relat speci,related species,1018,0,NA,NA
atlant ocean,atlantic ocean,1017,0,NA,NA
chlorin compound,chlorine compounds,1017,NA,1,NA
sustain agricultur,sustainable agriculture,1017,0,NA,NA
equat model,equation modeling,1016,0,NA,NA
speci interact,species interactions,1016,0,NA,NA
crop system,cropping systems,1015,0,NA,NA
bee,bee,1014,0,NA,NA
floral trait,floral trait,1014,NA,1,NA
ecosystem restor,ecosystem restoration,1012,0,NA,NA
literatur review,literature review,1012,NA,NA,NA
habitat loss,habitat loss,1010,NA,NA,1
nitrogen deposit,nitrogen deposition,1008,NA,NA,1
experiment result,experimental results,1006,0,NA,NA
molecular analysi,molecular analysis,1005,0,NA,NA
sensit analysi,sensitivity analysis,1005,0,NA,NA
stress resist,stress resistance,1004,NA,1,NA
synergist effect,synergistic effect,1004,0,NA,NA
signific posit correl,significant positive correlation,1003,0,NA,NA
oryza,oryza,1001,0,NA,NA
popul size,population size,1001,NA,1,NA
lignin,lignin,1000,0,NA,NA
reforest,reforestation,999,0,NA,NA
electron transport,electron transport,997,0,NA,NA
studi trait,studied traits,991,NA,1,NA
adapt respons,adaptive responses,990,0,NA,NA
grain fill,grain filling,990,0,NA,NA
adolesc,adolescent,989,0,NA,NA
structur equat,structural equation,989,0,NA,NA
seedl stage,seedling stage,988,NA,1,NA
dissolv organ,dissolved organic,985,NA,1,NA
biochem trait,biochemical traits,984,NA,1,NA
contamin soil,contaminated soils,984,NA,NA,1
natur habitat,natural habitats,984,0,NA,NA
boreal forest,boreal forest,983,0,NA,NA
plant water,plant water,983,0,NA,NA
stress,stress,983,0,NA,NA
middl age,middle aged,981,0,NA,NA
futur climat chang,future climate change,980,NA,NA,1
spatial pattern,spatial patterns,980,0,NA,NA
higher yield,higher yield,979,NA,1,NA
prolin content,proline content,979,NA,?,NA
groundwat,groundwater,977,0,NA,NA
conserv of natur resourc,conservation of natural resources,976,0,NA,NA
express level,expression levels,975,0,NA,NA
limit factor,limiting factor,974,0,NA,NA
arsenic,arsenic,973,NA,NA,1
competit abil,competitive ability,973,NA,1,NA
physiolog process,physiological processes,973,NA,1,NA
"polymorphism, singl nucleotid","polymorphism, single nucleotide",973,NA,1,NA
studi focus,study focuses,973,0,NA,NA
genet control,genetic control,972,0,NA,NA
river basin,river basin,971,0,NA,NA
signific variat,significant variation,971,0,NA,NA
trait composit,trait composition,971,NA,1,NA
environment variat,environmental variation,970,NA,NA,1
product trait,production traits,970,NA,1,NA
protect area,protected areas,969,0,NA,NA
entomolog societi,entomological society,967,0,NA,NA
habitat,habitat,967,0,NA,NA
common garden experi,common garden experiment,966,0,NA,NA
popul statist,population statistics,965,0,NA,NA
amin,amines,962,0,NA,NA
environment friend,environmentally friendly,961,0,NA,NA
drought treatment,drought treatment,960,NA,NA,1
feed behavior,feeding behavior,960,NA,1,NA
veget type,vegetation types,958,0,NA,NA
model predict,model predictions,957,0,NA,NA
biolog control,biological control,955,0,NA,NA
ecolog restor,ecological restoration,955,0,NA,NA
reactiv oxygen metabolit,reactive oxygen metabolite,955,0,NA,NA
evapotranspir,evapotranspiration,953,NA,1,NA
grain weight,grain weight,953,NA,1,NA
land-us chang,land-use change,953,NA,NA,1
model approach,modelling approach,952,0,NA,NA
speci abund,species abundance,952,0,NA,NA
relat growth,relative growth,951,NA,1,NA
acclim,acclimation,950,NA,1,NA
human popul,human population,950,0,NA,NA
particul matter,particulate matter,950,NA,NA,1
climat model,climate models,949,NA,NA,1
rna 16s,rna 16s,947,0,NA,NA
photosynthet capac,photosynthetic capacity,944,NA,1,NA
previous report,previously reported,943,0,NA,NA
speci distribut model,species distribution models,943,0,NA,NA
biotic factor,biotic factors,940,0,NA,NA
greenhous experi,greenhouse experiment,940,NA,NA,1
plant stem,plant stem,939,NA,1,NA
popul abund,population abundance,939,0,NA,NA
rhizospher,rhizosphere,939,NA,1,NA
cross-sect studi,cross-sectional study,938,0,NA,NA
fresh weight,fresh weight,938,NA,1,NA
yield,yield,938,NA,1,NA
reproduct strategi,reproductive strategy,937,NA,1,NA
urban ecosystem,urban ecosystem,937,NA,NA,1
ecolog nich,ecological niche,936,0,NA,NA
ecotoxicolog,ecotoxicology,936,0,NA,NA
restor,restoration,935,0,NA,NA
southern europ,southern europe,935,0,NA,NA
biogeochem cycl,biogeochemical cycles,934,NA,NA,1
intern associ,international association,934,0,NA,NA
langmuir isotherm,langmuir isotherm,934,0,NA,NA
soil water,soil water,934,NA,NA,1
electron microscop,electron microscope,933,0,NA,NA
lizard,lizard,933,0,NA,NA
evergreen tree,evergreen tree,932,0,NA,NA
advers affect,adversely affected,931,0,NA,NA
access articl distribut,access article distributed,930,0,NA,NA
catalyst,catalyst,930,0,NA,NA
statist model,statistical model,930,0,NA,NA
potenti applic,potential applications,928,0,NA,NA
coexist,coexistence,926,0,NA,NA
"quantit trait, herit","quantitative trait, heritable",926,NA,1,NA
"spectroscopy, fourier transform infrar","spectroscopy, fourier transform infrared",926,0,NA,NA
veget growth,vegetative growth,926,NA,1,NA
decreas signific,decreased significantly,925,0,NA,NA
genet paramet,genetic parameters,925,0,NA,NA
perenni plant,perennial plant,925,0,NA,NA
garden experi,garden experiment,924,0,NA,NA
greenhous effect,greenhouse effect,924,NA,NA,1
heterogen,heterogeneity,924,0,NA,NA
trait,traits,923,NA,1,NA
carbon nanotub,carbon nanotubes,922,0,NA,NA
conserv status,conservation status,922,0,NA,NA
electr conduct,electrical conductivity,922,0,NA,NA
flood,flooding,922,NA,NA,1
herbicid,herbicide,922,NA,NA,1
linear regress,linear regression,922,0,NA,NA
find highlight,findings highlight,921,0,NA,NA
wast dispos,waste disposal,919,NA,NA,1
antioxid activ,antioxidant activity,918,NA,1,NA
graze,grazing,918,NA,NA,1
import implic,important implications,918,0,NA,NA
chemic reaction,chemical reaction,917,0,NA,NA
central europ,central europe,916,0,NA,NA
gas exchang,gas exchange,916,0,NA,NA
speci respons,species responses,916,0,NA,NA
complex format,complex formation,915,0,NA,NA
questionnair,questionnaire,915,0,NA,NA
apoptosi,apoptosis,914,0,NA,NA
climat factor,climatic factors,913,NA,NA,1
polyethylen glycol,polyethylene glycol,913,0,NA,NA
strong affect,strongly affected,913,0,NA,NA
veget structur,vegetation structure,913,0,NA,NA
antibiot resist,antibiotic resistance,912,NA,1,NA
fluoresc,fluorescence,912,0,NA,NA
water relat,water relations,912,NA,NA,1
secondari metabolit,secondary metabolites,911,NA,1,NA
plant stress,plant stress,910,NA,1,NA
polystyren,polystyrene,910,0,NA,NA
arabidopsi thaliana,arabidopsis thaliana,909,0,NA,NA
attribut licens,attribution license,908,0,NA,NA
catalysi,catalysis,908,0,NA,NA
common attribut licens,commons attribution license,908,0,NA,NA
creativ common attribut licens,creative commons attribution license,908,0,NA,NA
immobil,immobilization,908,0,NA,NA
nitrogen applic,nitrogen application,908,NA,NA,1
rural area,rural areas,908,NA,NA,1
conserv plan,conservation planning,907,0,NA,NA
natur enemi,natural enemies,907,0,NA,NA
plant popul,plant populations,907,0,NA,NA
bentho,benthos,905,0,NA,NA
function chang,functional change,905,NA,1,NA
gene sequenc,gene sequence,901,NA,1,NA
cellulos,cellulose,900,NA,1,NA
conifer forest,coniferous forest,900,0,NA,NA
rain,rain,900,NA,NA,1
total nitrogen,total nitrogen,900,NA,NA,1
ozon,ozone,899,NA,NA,1
statist analysi,statistical analysis,899,0,NA,NA
yield respons,yield response,899,NA,1,NA
molecular breed,molecular breeding,898,0,NA,NA
transpir,transpiration,897,0,NA,NA
analys reveal,analyses revealed,895,0,NA,NA
develop countri,developing countries,895,0,NA,NA
gene express profil,gene expression profiling,895,NA,1,NA
nutrient uptak,nutrient uptake,895,NA,1,NA
irrig,irrigation,893,NA,NA,1
static electr,static electricity,893,0,NA,NA
oxid reduct reaction,oxidation reduction reaction,891,0,NA,NA
plant genet,plant genetics,891,0,NA,NA
result support,results support,891,0,NA,NA
distribut rang,distribution range,890,NA,1,NA
graphen,graphene,890,NA,NA,1
growth perform,growth performance,890,NA,1,NA
durum wheat,durum wheat,889,0,NA,NA
general linear,generalized linear,889,0,NA,NA
stress environ,stress environments,889,NA,NA,1
pisc,pisces,888,0,NA,NA
rang shift,range shifts,888,NA,1,NA
toler genotyp,tolerant genotypes,887,NA,1,NA
shoot ratio,shoot ratio,886,NA,1,NA
water sampl,water samples,886,NA,NA,1
weed,weed,886,NA,NA,1
aromat hydrocarbon,aromatic hydrocarbons,885,NA,NA,1
histolog,histology,885,NA,1,NA
hydraul trait,hydraulic traits,885,NA,1,NA
immun respons,immune response,884,NA,1,NA
california,california,883,0,NA,NA
resist trait,resistance traits,882,NA,1,NA
import role,important roles,881,0,NA,NA
plastic respons,plastic responses,881,NA,1,NA
complet random,completely randomized,880,0,NA,NA
signific relationship,significant relationship,880,0,NA,NA
domin,dominance,879,NA,1,NA
veget dynam,vegetation dynamics,879,0,NA,NA
precipit (climatology),precipitation (climatology),878,NA,NA,1
extrem event,extreme event,877,NA,NA,1
mix model,mixed models,877,0,NA,NA
electrostat interact,electrostatic interaction,876,0,NA,NA
correl,correlation,875,0,NA,NA
latitudin gradient,latitudinal gradient,875,0,NA,NA
agricultur research,agricultural research,874,0,NA,NA
function rich,functional richness,873,NA,1,NA
in vitro studi,in vitro study,873,0,NA,NA
polymer,polymerization,872,0,NA,NA
taxonom divers,taxonomic diversity,872,0,NA,NA
arbuscular mycorrhiz,arbuscular mycorrhizal,871,0,NA,NA
plant grown,plants grown,871,0,NA,NA
anatom trait,anatomical traits,870,NA,1,NA
langmuir model,langmuir model,870,0,NA,NA
cell invas,cell invasion,869,0,NA,NA
landscap,landscape,869,0,NA,NA
lipid,lipid,869,NA,1,NA
veget scienc,vegetation science,869,0,NA,NA
ecosystem resili,ecosystem resilience,868,0,NA,NA
mathemat model,mathematical model,868,0,NA,NA
atmospher pollut,atmospheric pollution,867,NA,NA,1
perform assess,performance assessment,867,0,NA,NA
agricultur wast,agricultural wastes,866,NA,NA,1
haplotyp,haplotype,866,0,NA,NA
communiti level,community level,865,0,NA,NA
plant product,plant productivity,865,NA,1,NA
gene flow,gene flow,864,NA,1,NA
real time polymeras chain reaction,real time polymerase chain reaction,864,0,NA,NA
distribut model,distribution models,863,0,NA,NA
chain transfer,chain transfer,862,0,NA,NA
thermogravimetr analysi,thermogravimetric analysis,859,0,NA,NA
water bodi,water bodies,858,0,NA,NA
behavior respons,behavioral response,857,NA,1,NA
freshwat environ,freshwater environment,857,0,NA,NA
harvest,harvesting,857,NA,NA,1
result confirm,results confirm,856,0,NA,NA
"plants, genet modifi","plants, genetically modified",855,0,NA,NA
thermal stabil,thermal stability,855,NA,1,NA
water uptak,water uptake,855,NA,1,NA
well-wat condit,well-watered conditions,855,NA,NA,1
climat gradient,climatic gradient,854,NA,NA,1
yield trait,yield traits,853,NA,1,NA
map popul,mapping population,852,0,NA,NA
diverg,divergence,851,0,NA,NA
hot temperatur,hot temperature,851,NA,NA,1
physiolog model,physiological models,851,0,NA,NA
soil nutrient,soil nutrient,851,NA,NA,1
find provid,findings provide,849,0,NA,NA
signific reduct,significant reduction,849,0,NA,NA
interspecif competit,interspecific competition,848,0,NA,NA
mous,mouse,848,0,NA,NA
agricultur landscap,agricultural landscapes,847,NA,NA,1
signal pathway,signaling pathways,847,0,NA,NA
calcium,calcium,846,0,NA,NA
climat variat,climate variation,845,NA,NA,1
nutrient content,nutrient content,845,NA,1,?
preval,prevalence,845,0,NA,NA
dna,dna,844,NA,?,NA
molecular biolog,molecular biology,844,0,NA,NA
dispers abil,dispersal ability,843,NA,1,NA
ecosystem model,ecosystem modeling,843,0,NA,NA
nickel,nickel,843,NA,NA,1
diet,diet,842,NA,1,NA
heat stress,heat stress,842,NA,NA,1
arabidopsi,arabidopsis,841,0,NA,NA
dehydr,dehydration,841,NA,1,NA
relat contribut,relative contribution,841,0,NA,NA
microbi biomass,microbial biomass,840,0,NA,NA
argentina,argentina,839,0,NA,NA
sustain,sustainability,839,0,NA,NA
asia,asia,838,0,NA,NA
biofuel,biofuel,838,NA,NA,1
meta-analysi,meta-analysis,838,0,NA,NA
nutrient concentr,nutrient concentrations,835,NA,1,?
permit unrestrict,permits unrestricted,835,0,NA,NA
volatil organ compound,volatile organic compounds,835,NA,1,NA
plant perform,plant performance,833,NA,1,NA
methodolog,methodology,830,0,NA,NA
mycorrhiz fungi,mycorrhizal fungi,830,0,NA,NA
detect method,detection method,829,0,NA,NA
perenni grass,perennial grasses,829,0,NA,NA
speci level,species level,829,0,NA,NA
understori,understory,829,0,NA,NA
individu speci,individual species,828,0,NA,NA
larg unknown,largely unknown,828,0,NA,NA
zeta potenti,zeta potential,826,0,NA,NA
nitrogen cycl,nitrogen cycle,825,NA,NA,1
photosynthet rate,photosynthetic rates,825,NA,1,NA
breed strategi,breeding strategies,824,NA,1,NA
scan electron microscop,scanning electron microscope,824,0,NA,NA
simpl sequenc repeat,simple sequence repeat,824,0,NA,NA
agricultur practic,agricultural practices,823,NA,NA,1
endem speci,endemic species,823,0,NA,NA
energi dispers x ray spectroscopi,energy dispersive x ray spectroscopy,823,0,NA,NA
wheat varieti,wheat varieties,823,0,NA,NA
drink water,drinking water,822,0,NA,NA
irrig condit,irrigated conditions,822,NA,NA,1
reproduct stage,reproductive stage,822,NA,1,NA
wildfir,wildfire,822,NA,NA,1
divers index,diversity index,821,0,NA,NA
detriment effect,detrimental effects,820,0,NA,NA
geograph variat,geographical variation,820,NA,1,NA
microrna,microrna,820,0,NA,NA
fecund,fecundity,819,NA,1,NA
gene frequenc,gene frequency,818,NA,1,NA
improv drought toler,improve drought tolerance,818,NA,1,NA
natur environ,natural environment,818,0,NA,NA
metabolit,metabolite,816,NA,1,NA
soybean,soybean,816,0,NA,NA
divers,diversity,815,0,NA,NA
liquid chromatographi,liquid chromatography,815,0,NA,NA
toxic test,toxicity testing,815,0,NA,NA
proteom,proteomics,814,0,NA,NA
habitat structur,habitat structure,813,0,NA,NA
biotic interact,biotic interactions,812,0,NA,NA
potenti impact,potential impacts,812,0,NA,NA
unit kingdom,united kingdom,812,0,NA,NA
exot plant,exotic plants,811,NA,NA,1
germani,germany,811,0,NA,NA
river pollut,river pollution,811,NA,NA,1
exhibit signific,exhibited significant,809,0,NA,NA
savanna,savanna,809,0,NA,NA
trait locus,trait locus,809,NA,1,NA
clone,cloning,808,0,NA,NA
genet architectur,genetic architecture,808,NA,1,NA
human disturb,human disturbance,808,NA,NA,1
region scale,regional scale,807,0,NA,NA
chang impact,change impacts,805,0,NA,NA
nitrogen concentr,nitrogen concentration,805,NA,NA,1
tropic region,tropical regions,804,0,NA,NA
ambient temperatur,ambient temperature,803,NA,NA,1
speci occurr,species occurrence,802,0,NA,NA
remain poor understood,remain poorly understood,799,0,NA,NA
evolutionari respons,evolutionary responses,798,0,NA,NA
qualiti control,quality control,798,0,NA,NA
control group,control group,797,0,NA,NA
function type,functional types,797,NA,1,NA
increas drought,increased drought,797,NA,NA,1
origin author,original author,797,0,NA,NA
plant densiti,plant density,797,0,NA,NA
anthropogen impact,anthropogenic impacts,796,NA,NA,1
ocean acidif,ocean acidification,796,NA,NA,1
photosynthet pigment,photosynthetic pigments,796,NA,1,NA
specif trait,specific traits,795,NA,1,NA
quantit genet,quantitative genetic,794,0,NA,NA
winter wheat,winter wheat,794,0,NA,NA
taxonom group,taxonomic groups,792,0,NA,NA
semi-arid region,semi-arid regions,791,0,NA,NA
high variabl,highly variable,790,0,NA,NA
life cycl,life cycle,790,NA,1,NA
anthropogen activ,anthropogenic activities,789,NA,NA,1
function,functionalized,789,0,NA,NA
respond differ,respond differently,789,0,NA,NA
select breed,selective breeding,789,0,NA,NA
wild popul,wild population,789,0,NA,NA
competit (ecology),competition (ecology),788,0,NA,NA
subtrop region,subtropical region,788,0,NA,NA
transmiss electron,transmission electron,788,0,NA,NA
crop improv,crop improvement,786,NA,1,NA
landscap scale,landscape scale,786,0,NA,NA
plastic wast,plastic waste,786,NA,NA,1
lipid peroxid,lipid peroxidation,785,NA,1,NA
dna extract,dna extraction,784,0,NA,NA
ftir spectroscopi,ftir spectroscopy,784,0,NA,NA
growth form,growth forms,784,NA,1,NA
mechan properti,mechanical properties,784,0,NA,NA
cytolog,cytology,783,0,NA,NA
shoot,shoot,781,0,NA,NA
soil fertil,soil fertility,781,NA,NA,1
communiti ecolog,community ecology,780,0,NA,NA
landscap ecolog,landscape ecology,780,0,NA,NA
environment paramet,environmental parameters,779,0,NA,NA
larg scale,large scale,779,0,NA,NA
simul,simulation,779,0,NA,NA
young adult,young adult,779,0,NA,NA
plant function type,plant functional types,778,NA,1,NA
potassium,potassium,778,NA,1,NA
arthropod,arthropod,777,0,NA,NA
bodi mass,body mass,777,NA,1,NA
crustacean,crustacean,777,0,NA,NA
ionic strength,ionic strength,777,NA,1,NA
perform,performance,777,NA,1,NA
manganes,manganese,776,0,NA,NA
signific enhanc,significantly enhanced,776,0,NA,NA
biomass accumul,biomass accumulation,775,NA,1,NA
butterfli,butterfly,775,0,NA,NA
oxidation-reduct,oxidation-reduction,775,0,NA,NA
shoot length,shoot length,775,NA,1,NA
trait show,traits showed,775,NA,1,NA
